ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
287,SYR,M,,IRBID,16,F,,,
288,SYR,M,,Jerash,15,F,,,
289,SYR,M,,IRBID,2,F,,,
290,SYR,M,,IRBID,7,F,,,
291,SYR,F,,IRBID,11,M,,,
292,SYR,F,,Ajloun,6,F,,,
293,SYR,F,absolute,Irbid,14,F,,,
294,SYR,M,,Ajloun,7,M,,,
295,SYR,F,absolute,Irbid,16,F,,,
296,SYR,F,absolute,Irbid,14,M,,,
297,SYR,M,,IRBID,8,F,,,
298,SYR,F,,Ajloun,5,M,,,
299,SYR,F,,Ajloun,15,F,,,
300,SYR,M,,Jerash,14,M,,,
301,SYR,F,absolute,Jerash,7,M,,,
302,SYR,F,absolute,Jerash,1,F,,,
303,SYR,M,,IRBID,16,F,,,
304,SYR,M,,Jerash,12,F,,,
305,SYR,M,,IRBID,7,M,,,
306,SYR,M,,Ajloun,9,F,,,
307,SYR,F,absolute,Amman,9,F,,,
308,SYR,F,absolute,Irbid,13,F,,,
309,SYR,M,,IRBID,4,F,,,
310,SYR,M,,IRBID,12,M,,,
311,SYR,F,abject,Irbid,14,M,,,
312,SYR,F,abject,Irbid,16,M,,,
313,SYR,F,abject,Irbid,5,M,,,
314,SYR,F,,Ajloun,17,F,,,
315,SYR,F,absolute,Irbid,9,M,,,
316,SYR,M,,Ajloun,13,M,,,
317,SYR,F,absolute,Jerash,9,F,,,
318,SYR,F,absolute,Jerash,0,M,,,
319,SYR,M,,IRBID,12,F,,,
320,SYR,F,absolute,Amman,3,F,,,
321,SYR,M,,IRBID,15,F,,,
322,SYR,F,,Ajloun,14,M,,,
323,SYR,M,,IRBID,9,M,,,
324,SYR,M,,Jerash,8,M,,,
325,SYR,F,abject,Irbid,9,M,,,
326,SYR,F,absolute,Jerash,4,F,,,
327,SYR,M,,IRBID,14,M,,,
328,SYR,F,absolute,Amman,9,F,,,
329,SYR,F,absolute,Irbid,6,M,,,
330,SYR,F,,Ajloun,11,F,,,
331,SYR,F,,Ajloun,16,F,,,
332,SYR,F,,Ajloun,11,F,,,
333,SYR,M,,Jerash,8,M,,,
334,SYR,M,,Ajloun,10,M,,,
335,SYR,F,,Ajloun,1,F,,,
336,SYR,F,absolute,Irbid,13,F,,,
337,SYR,M,,IRBID,13,F,,,
338,SYR,F,,Jerash,17,F,,,DS
339,SYR,F,,Jerash,14,M,,,
340,SYR,M,,IRBID,11,F,,,
341,SYR,M,,IRBID,4,F,,,
342,SYR,F,absolute,Irbid,15,F,,,
343,SYR,F,absolute,Irbid,12,M,,,
344,SYR,F,absolute,Irbid,12,F,,,
345,SYR,F,absolute,Irbid,7,F,,,
346,SYR,F,,Ajloun,9,M,,,
347,SYR,F,,Ajloun,16,F,,,
348,SYR,M,,Ajloun,14,M,,,
349,SYR,M,,Aqaba,10,M,,,DS
350,SYR,M,,IRBID,13,F,,,
351,SYR,M,,IRBID,7,M,,,
352,SYR,M,,IRBID,12,M,SC,,
353,SYR,M,,IRBID,11,F,SC,,
354,SYR,M,absolute,Irbid,9,M,,,
355,SYR,M,,Jerash,16,F,,,
356,SYR,F,absolute,Irbid,15,M,,,
357,SYR,M,abject,Irbid,12,M,,,
358,SYR,M,,IRBID,14,M,,,
359,SYR,M,,IRBID,9,F,,,
360,SYR,M,,IRBID,11,M,,,
361,SYR,M,,IRBID,10,M,,,
362,SYR,M,,IRBID,15,M,,,
363,SYR,M,,IRBID,7,M,,,
364,SYR,F,absolute,Irbid,6,F,,,
365,SYR,M,,Ajloun,3,F,,,
366,SYR,M,abject,Irbid,8,M,,,
367,SYR,M,abject,Irbid,15,M,,,
368,SYR,M,,Jerash,12,M,,,
369,SYR,M,,Ajloun,2,M,,,
370,SYR,M,,IRBID,15,M,,,
371,SYR,M,,Ajloun,3,M,,,
372,SYR,M,,IRBID,4,M,,,
373,SYR,M,,Ajloun,1,F,,,
374,SYR,M,,IRBID,6,F,,,
375,SYR,M,,IRBID,12,F,,,
376,SYR,F,,Ajloun,11,F,,,
377,SYR,F,absolute,Irbid,17,M,SC,,
378,SYR,F,absolute,Irbid,8,F,SC,,
379,SYR,F,absolute,Irbid,9,F,SC,,
380,SYR,M,,IRBID,17,F,,,
381,SYR,M,,IRBID,4,F,,,
382,SYR,M,,Irbid,2,M,,,
383,SYR,F,,IRBID,7,F,,,
384,SYR,F,,Ajloun,6,M,,,
385,SYR,F,,Ajloun,3,M,,,
386,SYR,M,abject,Irbid,6,F,,,
387,SYR,M,abject,Irbid,4,F,,,
388,SYR,M,,IRBID,10,F,,,
389,SYR,F,,Ajloun,17,F,,,
390,SYR,M,,IRBID,9,F,,,
